Week,VPN Searches
2020-11-15,35
2020-11-22,34
2020-11-29,41
2020-12-06,37
2020-12-13,36
2020-12-20,37
2020-12-27,35
2021-01-03,38
2021-01-10,39
2021-01-17,40
2021-01-24,40
2021-01-31,39
2021-02-07,37
2021-02-14,39
2021-02-21,37
2021-02-28,36
2021-03-07,34
2021-03-14,36
2021-03-21,36
2021-03-28,39
2021-04-04,37
2021-04-11,41
2021-04-18,44
2021-04-25,41
2021-05-02,43
2021-05-09,43
2021-05-16,42
2021-05-23,42
2021-05-30,36
2021-06-06,39
2021-06-13,39
2021-06-20,38
2021-06-27,36
2021-07-04,38
2021-07-11,37
2021-07-18,36
2021-07-25,38
2021-08-01,38
2021-08-08,39
2021-08-15,40
2021-08-22,43
2021-08-29,40
2021-09-05,38
2021-09-12,43
2021-09-19,43
2021-09-26,41
2021-10-03,45
2021-10-10,47
2021-10-17,46
2021-10-24,43
2021-10-31,44
2021-11-07,46
2021-11-14,42
2021-11-21,32
2021-11-28,43
2021-12-05,42
2021-12-12,35
2021-12-19,33
2021-12-26,33
2022-01-02,44
2022-01-09,47
2022-01-16,40
2022-01-23,43
2022-01-30,48
2022-02-06,45
2022-02-13,45
2022-02-20,44
2022-02-27,48
2022-03-06,48
2022-03-13,46
2022-03-20,43
2022-03-27,49
2022-04-03,51
2022-04-10,46
2022-04-17,48
2022-04-24,47
2022-05-01,44
2022-05-08,47
2022-05-15,45
2022-05-22,45
2022-05-29,39
2022-06-05,42
2022-06-12,43
2022-06-19,44
2022-06-26,46
2022-07-03,42
2022-07-10,43
2022-07-17,44
2022-07-24,41
2022-07-31,42
2022-08-07,46
2022-08-14,49
2022-08-21,52
2022-08-28,51
2022-09-04,47
2022-09-11,51
2022-09-18,51
2022-09-25,56
2022-10-02,52
2022-10-09,47
2022-10-16,47
2022-10-23,45
2022-10-30,44
2022-11-06,43
2022-11-13,45
2022-11-20,43
2022-11-27,46
2022-12-04,45
2022-12-11,48
2022-12-18,42
2022-12-25,36
2023-01-01,40
2023-01-08,45
2023-01-15,46
2023-01-22,44
2023-01-29,46
2023-02-05,43
2023-02-12,42
2023-02-19,41
2023-02-26,40
2023-03-05,46
2023-03-12,39
2023-03-19,43
2023-03-26,49
2023-04-02,46
2023-04-09,45
2023-04-16,44
2023-04-23,45
2023-04-30,43
2023-05-07,43
2023-05-14,44
2023-05-21,43
2023-05-28,42
2023-06-04,39
2023-06-11,39
2023-06-18,38
2023-06-25,39
2023-07-02,39
2023-07-09,41
2023-07-16,37
2023-07-23,43
2023-07-30,42
2023-08-06,42
2023-08-13,43
2023-08-20,46
2023-08-27,44
2023-09-03,42
2023-09-10,42
2023-09-17,42
2023-09-24,43
2023-10-01,40
2023-10-08,38
2023-10-15,37
2023-10-22,39
2023-10-29,41
2023-11-05,39
2023-11-12,38
2023-11-19,35
2023-11-26,39
2023-12-03,39
2023-12-10,38
2023-12-17,36
2023-12-24,36
2023-12-31,40
2024-01-07,41
2024-01-14,42
2024-01-21,43
2024-01-28,44
2024-02-04,45
2024-02-11,47
2024-02-18,45
2024-02-25,43
2024-03-03,43
2024-03-10,64
2024-03-17,78
2024-03-24,86
2024-03-31,64
2024-04-07,58
2024-04-14,59
2024-04-21,54
2024-04-28,54
2024-05-05,53
2024-05-12,53
2024-05-19,52
2024-05-26,46
2024-06-02,50
2024-06-09,48
2024-06-16,49
2024-06-23,52
2024-06-30,45
2024-07-07,48
2024-07-14,47
2024-07-21,49
2024-07-28,49
2024-08-04,50
2024-08-11,56
2024-08-18,56
2024-08-25,50
2024-09-01,53
2024-09-08,53
2024-09-15,51
2024-09-22,52
2024-09-29,51
2024-10-06,48
2024-10-13,49
2024-10-20,49
2024-10-27,46
2024-11-03,47
2024-11-10,52
2024-11-17,49
2024-11-24,46
2024-12-01,53
2024-12-08,52
2024-12-15,52
2024-12-22,48
2024-12-29,47
2025-01-05,53
2025-01-12,58
2025-01-19,100
2025-01-26,53
2025-02-02,51
2025-02-09,50
2025-02-16,48
2025-02-23,52
2025-03-02,48
2025-03-09,47
2025-03-16,50
2025-03-23,50
2025-03-30,48
2025-04-06,49
2025-04-13,47
2025-04-20,49
2025-04-27,50
2025-05-04,50
2025-05-11,50
2025-05-18,49
2025-05-25,48
2025-06-01,50
2025-06-08,49
2025-06-15,52
2025-06-22,54
2025-06-29,51
2025-07-06,55
2025-07-13,53
2025-07-20,58
2025-07-27,68
2025-08-03,56
2025-08-10,52
2025-08-17,52
2025-08-24,51
2025-08-31,52
2025-09-07,51
2025-09-14,58
2025-09-21,56
2025-09-28,53
2025-10-05,49
2025-10-12,47
2025-10-19,52
2025-10-26,51
2025-11-02,49
2025-11-09,49
2025-11-16,46
